accountno, parcelnb, saledt, locationaddress, locationcity, locationzipcode, subdivisionid, subdivisiondescr, nbhd, occdescr, bltasoccdesc, bltasid, residentialsf, bsmntsf, bsmntfinsf, garagesf, grossacres, yrblt, salep, value
"R1634144","8604423001","2021-07-30","3821 SKY GAZER LN A","FORT COLLINS","80528","81039","TRIPLE CROWN HOMES AT OBSERVATORY VILLAGE ASSOC INC CONDO MAP 10 FTC (20050030137)","18729","Townhouse/Condo","Townhouse Two Story","68","1428","700","550","420",".00000000","2004","465000.00","366700.00"
"R1625519","8605407409","2021-07-30","5109 OLD MILL RD","FORT COLLINS","80528","80144","HARVEST PARK SUBDIVISION, FOURTH","18729","Townhouse","Townhouse Two Story","68","1639","814","","441",".07000000","2004","414500.00","372600.00"
"R1586869","8704405198","2021-07-30","1021 FENWICK DR","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","2 Story","8","1587","","","400",".09000000","2002","422500.00","324100.00"
"R1596071","8605227006","2021-07-30","2120 TIMBER CREEK DR B6","FORT COLLINS","80528","18421","TOWNHOMES AT TIMBER CREEK PUD","18729","Townhouse","Townhouse Two Story","68","1352","656","656","240",".02000000","2000","385000.00","331600.00"
"R1609488","8604407051","2021-07-30","3714 OBSERVATORY DR","FORT COLLINS","80528","8040","WILLOW BROOK","18729","Single Family Residential","2 Story","8","1586","842","551","400",".08000000","2007","520000.00","424800.00"
"R1659380","8708227020","2021-07-30","2215 SHANDY ST","FORT COLLINS","80524","8330002000","TIMBERVINE 2nd Filing","18933","Townhouse","Townhouse Two Story","68","1675","","","408",".04000000","2017","384000.00","354100.00"
"R1657557","8729174047","2021-07-30","3005 BRYCE DR","FORT COLLINS","80525","1997018000","RIGDEN FARM FILING 18","18729","Townhouse - 1/2 Duplex","Townhouse One Story","61","1840","1806","","638",".15000000","2014","540000.00","449100.00"
"R1656267","8719448002","2021-07-30","1908 SPRING FARM DR","FORT COLLINS","80525","8181004000","SPRING CREEK FARMS NORTH 4TH, FTC (20140022060)","19724","Single Family Residential","Ranch","1","1880","1550","","662",".16000000","2017","575000.00","558000.00"
"R0164801","9836405007","2021-07-30","1904 MARLENE DR","FORT COLLINS","80524","0197","PUEBLA VISTA ESTATES","19836","Single Family Residential","2 Story","8","2446","","","576",".94000000","1986","631000.00","552000.00"
"R0130834","9725408040","2021-07-30","1000 BOLTZ DR","FORT COLLINS","80525","117641","SOUTHMOOR VILLAGE","19724","Single Family Residential","Ranch","1","999","999","795","500",".22000000","1976","442500.00","383400.00"
"R0131598","9726105009","2021-07-30","2701 MEADOWLARK AVE","FORT COLLINS","80526","1175","SOUTH MEADOWLARK HEIGHTS","19722","Single Family Residential","Split Level","7","1769","550","","325",".17000000","1966","463470.00","364100.00"
"R0078204","9715207159","2021-07-30","2025 ORCHARD PL","FORT COLLINS","80521","11223","MILLER BROTHERS","19715","Single Family Residential","Ranch","1","1097","1097","596","286",".16000000","1958","418500.00","361100.00"
"R0064289","9713408168","2021-07-30","1017 E LAKE ST","FORT COLLINS","80524","12026","UNIVERSITY ACRES","19711","Single Family Residential","Ranch","1","1596","1628","1024","260",".20000000","1964","578000.00","515000.00"
"R1542885","8606475044","2021-07-30","5515 GOLDEN WILLOW DR","FORT COLLINS","80528","18552","WILLOW SPRINGS PUD","19613","Single Family Residential","2 Story","8","3114","1623","1623","672",".23000000","1999","830000.00","629200.00"
"R1533487","9614110060","2021-07-30","603 STONEHAM CT","FORT COLLINS","80525","18512","RIDGEWOOD HILLS PUD","19614","Single Family Residential","2 Story","8","2175","664","664","609",".26000000","1999","575000.00","457800.00"
"R1392204","8607316044","2021-07-30","1107 HAWKEYE ST","FORT COLLINS","80525","17404","PARAGON POINT PUD","19613","Townhouse","Townhouse One Story","61","1570","912","912","440",".16000000","1995","401000.00","418700.00"
"R1375881","8729310009","2021-07-30","3562 PIKE CIR N","FORT COLLINS","80525","1781","DAKOTA PINES PUD","18729","Single Family Residential","Ranch","1","1032","1032","694","440",".09000000","1994","453000.00","357400.00"
"R1433059","9601135028","2021-07-30","5000 BOARDWALK DR 28","FORT COLLINS","80525","18242","COURTYARDS AT MIRAMONT PUD","19601","Patio Home Single Family Residential","Ranch","1","1477","1008","768","546",".13000000","1997","635000.00","451900.00"
"R1429787","8729416042","2021-07-30","2818 CHERRYSTONE PL","FORT COLLINS","80525","17563","STONE RIDGE PUD","18729","Single Family Residential","2 Story","8","2488","1204","850","484",".22000000","1996","762500.00","555000.00"
"R1459783","8729217014","2021-07-30","3101 SAN LUIS ST","FORT COLLINS","80525","17513","DAKOTA RIDGE PUD","18729","Single Family Residential","2 Story","8","1912","948","716","440",".18000000","1996","625000.00","462000.00"
"R1303198","9709317016","2021-07-30","2815 W OLIVE ST","FORT COLLINS","80521","0986101","ARAPAHOE PINES CONDOS","19715","Townhouse/Condo","Townhouse One Story","61","784","","","",".00000000","1975","264900.00","197700.00"
"R1235737","9721128017","2021-07-30","2201 CEDARWOOD DR","FORT COLLINS","80526","15442","FAIRBROOKE","19722","Single Family Residential","2 Story","8","2366","","","440",".20000000","1989","606500.00","437600.00"
"R1094220","9607109014","2021-07-30","5908 HARRISON DR","FORT COLLINS","80526","013202","KINTZLEYS","19829","Single Family Residential","Ranch","1","1074","","","240",".18000000","1960","440000.00","303500.00"
"R1052853","9725122077","2021-07-30","801 E DRAKE RD G77","FORT COLLINS","80525","1387","SCOTCH PINES CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","893","","","",".00000000","1974","240000.00","209900.00"
"R1056280","8730131003","2021-07-30","3012 ANCHOR WAY 3","FORT COLLINS","80525","13217","SHERWOOD SHORES EAST CONDO","19724","Townhouse/Condo","Townhouse One Story","61","988","988","988","264",".00000000","1979","335000.00","320500.00"
"R1162667","9727132003","2021-07-30","2828 SILVERPLUME DR O3","FORT COLLINS","80526","14087","SILVERPLUME CONDO","19722","Townhouse/Condo","Townhouse Two Story","68","952","","","264",".00000000","1983","302000.00","239800.00"
"R1169866","9727222044","2021-07-30","1626 HAYWOOD PL","FORT COLLINS","80526","1483","SILVERPLUME ESTATES","19722","Single Family Residential","Bi Level 2 Story","4","1512","","","576",".15000000","1984","430000.00","356500.00"
"R1039199","9736411090","2021-07-29","4549 SEAWAY CIR","FORT COLLINS","80525","133402","WHALERS COVE","19601","Single Family Residential","Split Level","7","1624","","","440",".10000000","1984","535000.00","371500.00"
"R1240307","8831107009","2021-07-29","1817 COTTONWOOD POINT DR","FORT COLLINS","80524","0527","COTTONWOOD POINT PUD","19836","Single Family Residential","2 Story","8","2178","1084","1084","720",".12000000","1988","1305000.00","854600.00"
"R1182331","8831420009","2021-07-29","1803 DAYTON DR","FORT COLLINS","80524","018932","NEDRAH ACRES","19836","Single Family Residential","Ranch","1","2134","2134","2134","1094",".55000000","1974","1070000.00","798200.00"
"R1542335","8621405021","2021-07-29","8337 GOLDEN EAGLE RD","FORT COLLINS","80528","06191","EAGLE RANCH ESTATES II PUD","19613","Single Family Residential","2 Story","8","4537","3235","1964","1463",".60000000","2000","1350000.00","1160800.00"
"R0233927","9704200041","2021-07-29","1430 N OVERLAND TRL","FORT COLLINS","80521","/040769","S4 T07 R69","19829","Single Family Residential","Ranch","1","968","","","416",".62000000","1970","484000.00","335700.00"
"R1665989","8708165036","2021-07-29","315 SKYRAIDER WAY","FORT COLLINS","80524","8255003000","EAST RIDGE 3rd FILING","18933","Townhouse","Townhouse Two Story","68","1662","","","504",".04000000","2019","399000.00","360800.00"
"R1663607","8729276101","2021-07-29","2608 KANSAS DR A101","FORT COLLINS","80525","8174001000","EAST VILLAGE AT RIGDEN FARM CONDOS BLDG A","18729","Condo unit","Condo &lt;= 3 Stories","19","1229","1229","","576",".00000000","2016","399000.00","338500.00"
"R1609217","8715209017","2021-07-29","815 SUNCHASE DR","FORT COLLINS","80524","/150768","S15 T07 R68","18933","Purged Manufactured Home","Modular","21","1556","","","484",".00000000","2001","175000.00","89400.00"
"R1615157","8729135003","2021-07-29","2702 RIGDEN PKWY A3","FORT COLLINS","80525","8046101","PARKSIDE EAST AT RIGDEN FARM BUILDING A CONDOMINIUMS, AMD PLAT","18729","Townhouse/Condo","Townhouse Two Story","68","1229","580","450","200",".00000000","2001","392503.00","306400.00"
"R1604387","8607431015","2021-07-29","1909 PRAIRIE HILL DR","FORT COLLINS","80528","8027","LINDEN PARK PDP","19613","Single Family Residential","Ranch","1","1254","774","","400",".11000000","2002","394600.00","344900.00"
"R1630791","9701377020","2021-07-29","344 PASCAL ST","FORT COLLINS","80524","8116","OLD TOWN NORTH, FTC (20040056692)","19836","Single Family Residential","2 Story","8","2458","992","992","576",".08000000","2015","1250000.00","791500.00"
"R1633360","8704426042","2021-07-29","802 WATERGLEN DR J42","FORT COLLINS","80524","805411","ABERDEEN AT WATERGLEN SUPP 11 BLDG J CONDOS FTC (20050010812)","18933","Townhouse/Condo","Townhouse Two Story","68","1338","","","240",".00000000","2004","291000.00","269000.00"
"R1630613","9701371015","2021-07-29","302 OSIANDER ST C","FORT COLLINS","80524","8116","OLD TOWN NORTH, FTC (20040056692)","19836","Townhouse","Townhouse Two Story","68","1306","","","340",".04000000","2015","485000.00","393900.00"
"R1614029","9612146106","2021-07-28","5620 FOSSIL CREEK PKWY 6106","FORT COLLINS","80525","804501","FOSSIL CREEK CONDOMINIUMS, SUPP No. 1","19613","Condo unit","Condo &lt;= 3 Stories","19","731","","","",".00000000","2001","255000.00","209100.00"
"R1607715","8608320006","2021-07-28","2233 MERLOT CT","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","2 Story","8","1603","672","","441",".14000000","2003","480000.00","402400.00"
"R1662524","8708154002","2021-07-28","3009 SYKES DR","FORT COLLINS","80524","8255002000","EAST RIDGE 2nd FILING","18933","Single Family Residential","2 Story","8","1746","868","","586",".09000000","2018","549300.00","413000.00"
"R1662532","8708154010","2021-07-28","3056 COMET ST","FORT COLLINS","80524","8255002000","EAST RIDGE 2nd FILING","18933","Single Family Residential","2 Story","8","2096","922","","652",".11000000","2018","590000.00","450000.00"
"R0184349","9725407103","2021-07-28","3400 CAMELOT DR","FORT COLLINS","80525","12121","VILLAGE EAST","19724","Single Family Residential","Split Level","7","1480","","","440",".26000000","1976","466000.00","377700.00"
"R0227242","9611106010","2021-07-28","312 MILKY WAY","FORT COLLINS","80525","02211","SKYVIEW","19614","Single Family Residential","Ranch","1","1152","1152","","",".18000000","1974","320000.00","313900.00"
"R1588489","8731367230","2021-07-28","4545 WHEATON DR G230","FORT COLLINS","80525","18728","ROCKBRIDGE CONDO RESIDENCES PUD","19601","Condo unit","Condo &lt;= 3 Stories","19","1071","","","220",".00000000","1998","301000.00","267400.00"
"R1468928","9614208054","2021-07-28","6648 HOLYOKE CT","FORT COLLINS","80525","1851","RIDGEWOOD HILLS PUD","19614","Single Family Residential","2 Story","8","1837","1076","806","462",".23000000","1996","559000.00","440100.00"
"R1349309","9612415074","2021-07-28","6401 BUCHANAN ST","FORT COLLINS","80525","16202","BRITTANY KNOLLS PUD","19613","Single Family Residential","Ranch","1","2004","2004","754","664",".20000000","1992","629900.00","505800.00"
"R1097032","9721292003","2021-07-28","1901 REAL CT C","FORT COLLINS","80526","12708","TRAILVIEW CONDO","19722","Townhouse/Condo","Townhouse Two Story","68","1104","","","264",".00000000","1980","320000.00","247800.00"
"R0680141","9602405002","2021-07-28","420 APPLE BLOSSOM LN","FORT COLLINS","80526","02112","APPLEWOOD ESTATES","19601","Single Family Residential","2 Story","8","3205","","","1194","2.75000000","1979","843000.00","788500.00"
"R1053469","9724423008","2021-07-28","925 COLUMBIA RD 624","FORT COLLINS","80525","13064","MISSION HILLS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","938","","","",".00000000","1979","240000.00","212600.00"
"R1224697","8606320012","2021-07-27","1413 HUMMEL LN","FORT COLLINS","80525","149301","FRONT NINE AT SOUTHRIDGE GREENS PUD","19613","Single Family Residential","Split Level","7","2850","834","754","714",".21000000","1985","740000.00","554800.00"
"R1245023","9728208054","2021-07-27","2825 MCKEAG DR","FORT COLLINS","80526","16081","QUAIL HOLLOW PUD","19722","Single Family Residential","2 Story","8","1698","1232","1232","484",".15000000","1988","637500.00","498400.00"
"R1176650","9726338001","2021-07-27","3440 WINDMILL DR 4-1","FORT COLLINS","80526","1516","PARK WEST CONDO","19722","Townhouse/Condo","Townhouse Two Story","68","990","495","","220",".00000000","1984","346000.00","238000.00"
"R1429850","8729416049","2021-07-27","3418 CHERRYSTONE CT","FORT COLLINS","80525","17563","STONE RIDGE PUD","18729","Single Family Residential","2 Story","8","2750","1400","998","966",".24000000","1997","687500.00","609600.00"
"R1588035","8609311016","2021-07-27","6112 CRANE DR","FORT COLLINS","80528","0637","FOSSIL LAKE PUD","19613","Single Family Residential","2 Story","8","3015","1622","1622","765",".35000000","2000","1025000.00","739600.00"
"R0082368","9715308013","2021-07-27","1705 W LAKE ST","FORT COLLINS","80521","1048","FAIRVIEW WEST","19715","Single Family Residential","Ranch","1","1144","1144","110","440",".20000000","1966","582000.00","379400.00"
"R1656818","8608423009","2021-07-27","6203 SWAINSONS HAWK PL","FORT COLLINS","80528","0898001000","KECHTER FARM PLD FIL 1","18729","Single Family Residential","2 Story","8","3972","1181","","752",".32000000","2016","1025000.00","916900.00"
"R1668608","8704325005","2021-07-27","3312 GREEN LAKE DR 1","FORT COLLINS","80524","8132002000","TRAIL HEAD FILING 2","18933","Townhouse","Townhouse Two Story","68","1430","","","484",".00000000","2019","425000.00","360800.00"
"R1608493","8609232005","2021-07-27","3527 SHALLOW POND DR","FORT COLLINS","80528","06372","FOSSIL LAKE PUD, SECOND FILING","19613","Single Family Residential","2 Story","8","2922","1601","1601","720",".20000000","2002","900000.00","676900.00"
"R1607573","8608312001","2021-07-27","2209 DOLAN ST","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","2 Story","8","2149","1129","919","708",".13000000","2004","675000.00","493800.00"
"R1616093","8729243048","2021-07-27","2821 WILLOW TREE LN G","FORT COLLINS","80525","19977","RIGDEN FARM, 7TH FILING, THE WILLOW","18729","Townhouse","Townhouse Two Story","68","1298","445","","440",".03000000","2003","390000.00","301800.00"
"R1637762","9711476308","2021-07-26","224 CANYON AVE 308","FORT COLLINS","80521","8160","CORTINA CONDOMINIUMS, FTC (20050090354)","19711","Condo unit","Condo &gt; 3 Stories","20","1206","","","56",".00000000","2004","655000.00","689100.00"
"R1652942","8720350012","2021-07-26","2241 TRESTLE RD","FORT COLLINS","80525","8288001000","BUCKING HORSE FILING 1","18933","Townhouse","Townhouse Two Story","68","1205","","","326",".05000000","2013","385000.00","341200.00"
"R1607834","8608324004","2021-07-26","6321 TREESTEAD RD","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","Ranch","1","2610","2595","1636","777",".50000000","2004","1050000.00","845800.00"
"R0661104","9611406043","2021-07-26","516 GALAXY CT","FORT COLLINS","80525","03922","SKYVIEW SOUTH","19614","Single Family Residential","Ranch","1","988","","","520",".22000000","1978","385000.00","309800.00"
"R0715891","8730210061","2021-07-26","2931 EINDBOROUGH DR","FORT COLLINS","80525","1267","EASTBOROUGH","19724","Single Family Residential","Split Level","7","1532","","","520",".19000000","1981","450000.00","358600.00"
"R0096610","9716432091","2021-07-26","1100 TIMBER LN","FORT COLLINS","80521","11213","MILLER","19715","Single Family Residential","Bi Level 2 Story","4","1790","","","498",".15000000","1973","395000.00","356100.00"
"R1542334","8621405020","2021-07-26","8343 GOLDEN EAGLE RD","FORT COLLINS","80528","06191","EAGLE RANCH ESTATES II PUD","19613","Single Family Residential","Ranch","1","2823","2755","2755","1535",".63000000","2001","1550000.00","990000.00"
"R1245058","9728208057","2021-07-26","2847 MCKEAG DR","FORT COLLINS","80526","16081","QUAIL HOLLOW PUD","19722","Single Family Residential","2 Story","8","2013","650","650","486",".22000000","1988","665000.00","515400.00"
"R1071815","8731416002","2021-07-26","1719 HOTCHKISS DR","FORT COLLINS","80525","13443","GOLDEN MEADOWS","19601","Single Family Residential","2 Story","8","2243","780","","484",".15000000","1983","600000.00","436800.00"
"R1146521","9715433006","2021-07-26","1118 CITY PARK AVE 230","FORT COLLINS","80521","1461","WOODBRIDGEWESTVIEW CONDO","19715","Condo unit","Condo &lt;= 3 Stories","19","864","","","",".00000000","1981","230000.00","200000.00"
"R0027014","9711217031","2021-07-23","525 N WHITCOMB ST","FORT COLLINS","80521","1350","GOLDING DWYRE","19711","Single Family Residential","2 Story","8","2135","1056","","",".31000000","2008","1077000.00","725700.00"
"R0127990","9725234014","2021-07-23","3032 TULANE DR","FORT COLLINS","80525","11968","THUNDERBIRD ESTATES","19724","Single Family Residential","Ranch","1","1737","1560","1030","484",".26000000","1971","490000.00","471600.00"
"R0175293","9721113115","2021-07-23","2219 SHROPSHIRE AVE","FORT COLLINS","80526","10131","BROWN FARM","19722","Single Family Residential","Split Level","7","1578","504","","488",".16000000","1975","464500.00","368000.00"
"R0121088","9724412107","2021-07-23","2230 IROQUOIS DR","FORT COLLINS","80525","1129","MISSION HILLS","19724","Single Family Residential","Ranch","1","1100","1100","1100","440",".23000000","1977","555000.00","431600.00"
"R0757837","9624105008","2021-07-23","7800 COSTIGAN AVE","FORT COLLINS","80525","03442","COLLAND CENTER","19613","Single Family Residential","Modular","21","1689","","","600",".24000000","1986","115000.00","43400.00"
"R1090046","9725319015","2021-07-23","3400 STANFORD RD B224","FORT COLLINS","80525","1400","WINDMILL CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","751","","","",".00000000","1978","182000.00","178500.00"
"R1250108","9726360002","2021-07-23","1020 CUNNINGHAM DR K2","FORT COLLINS","80526","16113","FIVE OAKS VILLAGE AT CUNNINGHAM CORNER CONDOS","19722","Townhouse/Condo","Townhouse Two Story","68","1194","468","468","280",".00000000","1986","395000.00","290900.00"
"R1265440","8606214043","2021-07-23","1123 RED OAK CT","FORT COLLINS","80525","15663","OAKRIDGE VILLAGE PUD","19613","Single Family Residential","2 Story","8","1789","944","746","440",".17000000","1988","545000.00","416900.00"
"R1304283","9726370002","2021-07-23","3565 WINDMILL DR A2","FORT COLLINS","80526","151817","CHESTNUT VILLAGE CONDOS","19722","Condo unit","Condo &lt;= 3 Stories","19","850","","","",".00000000","1989","255000.00","212500.00"
"R1538993","9716357002","2021-07-23","1000 CUERTO LN B","FORT COLLINS","80521","19371","APPALOOSA AT LORY ANN ESTATES CONDOS","19715","Townhouse/Condo","Townhouse Two Story","68","1221","588","","",".00000000","1997","355000.00","271100.00"
"R1618498","9612143303","2021-07-23","5620 FOSSIL CREEK PKWY 3303","FORT COLLINS","80525","804507","FOSSIL CREEK CONDOMINIUMS, SUPP No. 7 BLDG 3","19613","Condo unit","Condo &lt;= 3 Stories","19","1134","","","220",".00000000","2001","325000.00","284700.00"
"R1645898","8707114041","2021-07-23","527 WINNIPEG CT","FORT COLLINS","80524","1942001001","DRY CREEK MINOR SUB, 1ST RPLT, FTC (20070083115)","18933","Single Family Residential","2 Story","8","1634","","","520",".16000000","2013","430000.00","350500.00"
"R1630735","9701376013","2021-07-23","409 OSIANDER ST","FORT COLLINS","80524","8116","OLD TOWN NORTH, FTC (20040056692)","19836","Single Family Residential","","9","1623","676","529","520",".07000000","2014","735000.00","655000.00"
"R1641803","9715224015","2021-07-23","1946 CORVID WAY","FORT COLLINS","80521","8192","RAVEN VIEW, FTC (20060056238)","19715","Single Family Residential","Ranch","1","1415","1395","","462",".15000000","2011","560000.00","443400.00"
"R1642563","9613434001","2021-07-22","803 SNOWY PLAIN RD","FORT COLLINS","80525","18383","PROVINCETOWNE FILING 3, FTC (20060088535)","19613","Single Family Residential","Ranch","1","1675","1603","","440",".15000000","2008","550000.00","413300.00"
"R1616045","8729243001","2021-07-22","2869 RIGDEN PKWY","FORT COLLINS","80525","19977","RIGDEN FARM, 7TH FILING, THE WILLOW","18729","Single Family Residential","2 Story","8","1492","409","409","400",".05000000","2013","450000.00","354800.00"
"R1628605","8832239008","2021-07-22","2445 SUNBURY LN","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","Split Level","7","1785","378","","649",".11000000","2013","485000.00","356700.00"
"R1548662","9612229083","2021-07-22","514 DUNRAVEN DR","FORT COLLINS","80525","14316","HUNTINGTON HILLS PUD","19613","Single Family Residential","2 Story","8","1666","900","","400",".14000000","1998","540000.00","387700.00"
"R1592348","8729110038","2021-07-22","2815 CANBY WAY","FORT COLLINS","80525","1997","RIGDEN FARM 1ST FIL, FTC ","18729","Single Family Residential","2 Story","8","1772","840","800","440",".13000000","2002","550000.00","423200.00"
"R1566610","8605320030","2021-07-22","2302 SWEETWATER CREEK DR","FORT COLLINS","80528","18332","STETSON CREEK PUD","18729","Single Family Residential","2 Story","8","1941","1133","","400",".16000000","1999","560000.00","457200.00"
"R1452789","9726384003","2021-07-22","1032 CUNNINGHAM DR H3","FORT COLLINS","80526","161112","FIVE OAKS VILLAGE AT CUNNINGHAM CORNER CONDOS","19722","Townhouse/Condo","Townhouse Two Story","68","1326","672","672","280",".00000000","1995","395000.00","329500.00"
"R1282867","9727310054","2021-07-22","2039 CHURCHILL CT","FORT COLLINS","80526","13484","ROSSBOROUGH","19722","Single Family Residential","2 Story","8","1796","","","528",".22000000","1991","465000.00","361500.00"
"R0715646","8730210039","2021-07-22","1112 CENTENNIAL RD","FORT COLLINS","80525","1267","EASTBOROUGH","19724","Single Family Residential","2 Story","8","1414","672","","440",".19000000","1979","451000.00","379700.00"
"R0193569","8716208034","2021-07-22","800 GREENBRIAR DR","FORT COLLINS","80524","01955","SUNRISE ACRES","18933","Single Family Residential","Ranch","1","1672","","","380",".31000000","1972","400000.00","418800.00"
"R0138843","9726418036","2021-07-22","407 W SWALLOW RD","FORT COLLINS","80526","11753","SOUTH MEADOWLARK HEIGHTS","19722","Single Family Residential","Bi Level 2 Story","4","2344","","","240",".21000000","1973","465000.00","355500.00"
"R0058840","9713315003","2021-07-22","521 GARFIELD ST","FORT COLLINS","80524","1028","CRAFTS RESUB","19711","Single Family Residential","Ranch","1","720","576","576","384",".12000000","1928","635000.00","482400.00"
"R0134805","9726206036","2021-07-21","854 WAGONWHEEL DR","FORT COLLINS","80526","1230","WOODWEST","19722","Single Family Residential","Bi Level 2 Story","4","2000","","","448",".36000000","1972","490000.00","378100.00"
"R0031232","9711235014","2021-07-21","220 N SHIELDS ST","FORT COLLINS","80521","1019","CAPITOL HILL","19711","Single Family Residential","Ranch","1","1592","636","","576",".18000000","1910","678500.00","381900.00"
"R0615838","9724415149","2021-07-21","801 VANDERBILT CT","FORT COLLINS","80525","1252","COTTONWOOD","19724","Single Family Residential","Bi Level 2 Story","4","1886","","","480",".19000000","1977","440000.00","376400.00"
"R0691445","9603105027","2021-07-21","1408 HEPPLEWHITE CT","FORT COLLINS","80526","1696","RIDGE PUD","19601","Single Family Residential","2 Story","8","2856","","","768","1.43000000","1988","970000.00","763400.00"
"R1017560","9727109013","2021-07-21","1430 HASTINGS DR","FORT COLLINS","80526","1369","KENSINGTON SOUTH, THE SQUARE AT","19722","Single Family Residential","Ranch","1","1052","1028","1028","484",".17000000","1986","485000.00","398000.00"
"R1342789","8732307030","2021-07-21","4330 STONEY CREEK DR","FORT COLLINS","80525","16166","SUNSTONE VILLAGE PUD","18729","Single Family Residential","2 Story","8","1549","375","","440",".12000000","1993","488000.00","383100.00"
"R1216651","8730416038","2021-07-21","3112 EASTBROOK DR","FORT COLLINS","80525","1570","TIMBERLINE VILLAGE PUD","19724","Single Family Residential","Split Level","7","1256","","","440",".14000000","1985","390000.00","330200.00"
"R1089935","9725319004","2021-07-21","3400 STANFORD RD B213","FORT COLLINS","80525","1400","WINDMILL CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","618","","","",".00000000","1978","213500.00","161400.00"
"R1447947","8732114277","2021-07-21","3701 CARRINGTON RD","FORT COLLINS","80525","17335","ENGLISH RANCH","18729","Single Family Residential","Ranch","1","1450","1450","","400",".20000000","1996","525000.00","414900.00"
"R1377876","8729413023","2021-07-21","2601 JEWELSTONE CT","FORT COLLINS","80525","17562","STONE RIDGE PUD","18729","Single Family Residential","2 Story","8","2778","1465","1037","763",".27000000","1995","782000.00","611100.00"
"R1361163","8732309011","2021-07-21","4419 STONEY CREEK DR","FORT COLLINS","80525","16167","SUNSTONE VILLAGE PUD","18729","Single Family Residential","2 Story","8","2255","1080","864","441",".16000000","1994","570000.00","484700.00"
"R1591631","9717407037","2021-07-21","1250 BANYAN DR","FORT COLLINS","80521","18872","THE PONDS AT OVERLAND TRAIL 2ND","19722","Single Family Residential","Ranch","1","1422","1388","1388","727",".15000000","2001","565000.00","469200.00"
"R1586871","8704405200","2021-07-21","3926 RANNOCH ST","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","Ranch","1","1310","","","380",".10000000","2000","410000.00","306000.00"
"R1629452","8829316015","2021-07-20","2320 BOW SIDE DR","FORT COLLINS","80524","8108","LIND PROPERTY","18933","Single Family Residential","Ranch","1","1644","1626","1538","400",".12000000","2007","482000.00","401100.00"
"R1630165","8729160410","2021-07-20","2739 ANNELISE WAY","FORT COLLINS","80525","19976","RIGDEN FARM","18729","Single Family Residential","Ranch","1","1970","1970","","860",".21000000","2006","624940.00","481400.00"
"R1628224","8832218016","2021-07-20","2615 ASHLAND LN","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","2 Story","8","2011","656","370","576",".14000000","2007","473000.00","406600.00"
"R1586349","8618217113","2021-07-20","6944 BARBUDA DR","FORT COLLINS","80525","19562","STANTON CREEK","19613","Single Family Residential","Ranch","1","1689","1509","1300","440",".14000000","2002","500000.00","440000.00"
"R1508784","8702314015","2021-07-20","1026 SALMON RUN","FORT COLLINS","80524","05852","TRAPPERS POINT","18933","Single Family Residential","Ranch","1","3630","3577","2984","1156","3.35000000","2006","2400000.00","1094000.00"
"R1440349","8605307002","2021-07-20","2107 STILLWATER CREEK DR","FORT COLLINS","80528","1833","STETSON CREEK PUD","18729","Single Family Residential","2 Story","8","2804","1523","","630",".19000000","1998","625000.00","510300.00"
"R1438735","9602218008","2021-07-20","707 BENTLEY PL","FORT COLLINS","80526","1839","COVENTRY","19601","Single Family Residential","2 Story","8","2504","645","525","630",".16000000","1999","650000.00","493800.00"
"R0126381","9725216018","2021-07-20","308 DEL CLAIR RD","FORT COLLINS","80525","11964","THUNDERBIRD ESTATES","19724","Single Family Residential","Split Level","7","1540","","","264",".20000000","1966","455000.00","342900.00"
"R0680818","9727106051","2021-07-19","1525 GLEN HAVEN DR","FORT COLLINS","80526","1259","KENSINGTON SOUTH","19722","Single Family Residential","Bi Level 2 Story","4","1818","","","484",".14000000","1979","351000.00","338900.00"
"R1588101","8609207009","2021-07-19","5941 TWIN WASH SQ","FORT COLLINS","80528","0637","FOSSIL LAKE PUD","19613","Single Family Residential","2 Story","8","2588","1035","","580",".21000000","2001","685000.00","563600.00"
"R1662321","8708140015","2021-07-19","2838 SYKES DR","FORT COLLINS","80524","8255002000","EAST RIDGE 2nd FILING","18933","Single Family Residential","Permit Value","0","1","","","",".09000000","2020","540000.00","133200.00"
"R1656601","9717420021","2021-07-19","1030 BELLA VIRA DR","FORT COLLINS","80521","8237002000","BELLA VIRA SUB FIL 2","19722","Townhouse","Townhouse Two Story","68","1781","1322","1047","361",".07000000","2016","660000.00","552300.00"
"R1669134","9711146207","2021-07-19","302 N MELDRUM ST 207","FORT COLLINS","80521","8415000000","MYRIDIUM CONDOS","19711","Condo unit","Condo &gt; 3 Stories","20","1148","","","",".00000000","2017","659500.00","522600.00"
