,accountno,parcelnb,saledt,locationaddress,locationcity,locationzipcode,subdivisionid,subdivisiondescr,nbhd,occdescr,bltasoccdesc,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,value
675,R0075418,9715118004,2020-08-11,524 S BRYAN AVE,FORT COLLINS,80521,1012,"BROAM, D. W.",19715,Single Family Residential,Bi Level 2 Story,4,1738,,,264,.16000000,1966,498000.00,376900.00
676,R0674362,9836119001,2020-08-11,820 ALYSON DR,FORT COLLINS,80524,0412,DELLWOOD HEIGHTS,19836,Single Family Residential,Split Level,7,2408,588,,462,.33000000,1978,460000.00,497400.00
677,R0639869,9701400026,2020-08-10,1123 LINDENMEIER CT THRU,FORT COLLINS,80524,/010769,S1 T07 R69,19836,Duplex -side by side,Duplex One Story,51,1525,,,396,.83000000,1973,470166.00,458100.00
678,R0061905,9713334019,2020-08-10,1521 WHEDBEE ST,FORT COLLINS,80524,11313,MOORE`S L C,19711,Single Family Residential,Ranch,1,1752,1224,1224,1056,.26000000,1951,767250.00,767000.00
679,R0056812,9713224023,2020-08-10,512 LOCUST ST,FORT COLLINS,80524,//10168,FTC BLK 168,19711,Single Family Residential,Ranch,1,1123,758,758,528,.12000000,1948,515000.00,553500.00
680,R0134619,9726205009,2020-08-10,701 WAGONWHEEL DR,FORT COLLINS,80526,1230,WOODWEST,19722,Single Family Residential,Bi Level 2 Story,4,1870,,,432,.39000000,1972,457500.00,416200.00
681,M9054731,9613200014,2020-08-10,517 E TRILBY RD 6,FORT COLLINS,80525,,,MH2,MH In Park,Double Wide,15,1568,,,,.00000000,2011,90000.00,62700.00
682,R0195758,8706214040,2020-08-10,1217 LINDENWOOD DR,FORT COLLINS,80524,024611,LINDENWOOD,19836,Single Family Residential,Ranch,1,1812,893,893,638,.27000000,1970,637500.00,611300.00
683,R0197530,8831409045,2020-08-10,1816 KALMAR CT,FORT COLLINS,80524,01893,NEDRAH ACRES,19836,Single Family Residential,Ranch,1,2000,1168,388,480,.32000000,1977,510000.00,523200.00
684,R0197629,8831409054,2020-08-10,1801 LAKE VIEW DR,FORT COLLINS,80524,01893,NEDRAH ACRES,19836,Single Family Residential,Ranch,1,1703,1703,1703,948,.29000000,1977,599950.00,599900.00
685,R0108375,9724116052,2020-08-10,1743 SPRINGMEADOWS CT A,FORT COLLINS,80525,11831,SPRING MEADOWS CONDO,19724,Townhouse/Condo,Townhouse Two Story,68,1200,,,400,.00000000,1974,279900.00,254500.00
686,R1297210,8732232023,2020-08-10,4008 STONEY CREEK DR,FORT COLLINS,80525,16164,SUNSTONE VILLAGE PUD,18729,Single Family Residential,2 Story,8,1616,460,,440,.17000000,1992,415000.00,396300.00
687,R1006576,8719316007,2020-08-10,1305 KIRKWOOD DR 107,FORT COLLINS,80525,1357,PARKWOOD GARDENS CONDO,19724,Condo unit,Condo <= 3 Stories,19,766,,,,.00000000,1970,178000.00,170100.00
688,R1010247,9724238012,2020-08-10,636 CHEYENNE DR 12,FORT COLLINS,80525,1353,INDIAN HILLS WEST PUD,19724,Townhouse,Townhouse Two Story,68,1428,672,,396,.03000000,1982,396500.00,395600.00
689,R1592628,8606265014,2020-08-10,1327 ARMSLEY CT,FORT COLLINS,80525,156611,OAKRIDGE VILLAGE PUD 11TH,19613,Townhouse - 1/2 Duplex,Townhouse One Story,61,1248,,,440,.13000000,1999,320000.00,339800.00
690,R1598069,8710415011,2020-08-10,120 REBECCA CT,FORT COLLINS,80524,065401,"TRAILS AT VISTA BONITA PUD, AMD",18933,Single Family Residential,Ranch,1,1974,1944,600,660,.55000000,2001,558000.00,558400.00
691,R1587007,8704405283,2020-08-10,3927 GARDENWALL CT,FORT COLLINS,80524,1971,WATERGLEN PUD,18933,Single Family Residential,2 Story,8,1414,,,420,.11000000,2002,360000.00,319600.00
692,R1626746,8604112001,2020-08-10,5026 NORTHERN LIGHTS DR A,FORT COLLINS,80528,80851,"MORNINGSIDE VILLAGE, SUPP 1 (BLDG 33) FTC (20030128027)",18729,Condo unit,Condo <= 3 Stories,19,1498,,,406,.00000000,2003,340000.00,339100.00
693,R1627282,9613142100,2020-08-10,6827 AUTUMN RIDGE DR C3,FORT COLLINS,80525,183841,"PROVINCETOWNE P.U.D. FIL NO. 2, CONDO MAP NO. 21, FTC (20030141864)",19613,Townhouse/Condo,Townhouse Two Story,68,1216,,,,.00000000,2003,255000.00,230800.00
694,R1669427,9724147004,2020-08-10,908 WATERCOURSE WAY,FORT COLLINS,80525,8344002000,RIVER MODERN SUB 2nd FILING,19724,Single Family Residential,2 Story,8,2439,1140,,828,.13000000,2019,789717.00,578400.00
695,R1627256,8604113004,2020-08-07,5038 NORTHERN LIGHTS DR D,FORT COLLINS,80528,80852,"MORNINGSIDE VILLAGE SUPP NO. 2, CONDO MAP, FTC (20030137677)",18729,Condo unit,Condo <= 3 Stories,19,1630,,,504,.00000000,2003,347000.00,359600.00
696,R1625365,9716382009,2020-08-07,2856 PLEASANT VALLEY RD,FORT COLLINS,80521,805901,"PEAK VIEW SUB, BLK 1 REPLAT",19715,Single Family Residential,Ranch,1,1510,1496,1496,400,.10000000,2005,505000.00,445900.00
697,R1618109,8715113119,2020-08-07,1022 FRISIAN DR,FORT COLLINS,80524,06842,"CLYDESDALE PARK PUD, SECOND FILING",18933,Single Family Residential,2 Story,8,3160,1680,,714,.18000000,2012,535000.00,573500.00
698,R1618022,8715113032,2020-08-07,4743 WITHERS DR,FORT COLLINS,80524,06842,"CLYDESDALE PARK PUD, SECOND FILING",18933,Single Family Residential,2 Story,8,2682,1505,1505,693,.17000000,2005,595000.00,579600.00
699,R1629260,8729259005,2020-08-07,2821 RIGDEN PKWY 5,FORT COLLINS,80525,806805,"LAGRANGE CONDOMINIUMS, 5TH SUPP (BLDG 16),FTC (20040024005)",18729,Townhouse/Condo,Townhouse Two Story,68,1405,575,400,360,.00000000,2002,372500.00,358200.00
700,R1640850,9716337112,2020-08-07,1014 ANDREWS PEAK DR D112,FORT COLLINS,80521,80933,"PEAK VIEW CONDOS 3RD SUPP, FTC (20040070160)",19715,Townhouse/Condo,Townhouse Two Story,68,1591,918,809,275,.00000000,2004,369900.00,375000.00
701,R1659451,9735165002,2020-08-07,3800 MANHATTAN AVE 2,FORT COLLINS,80526,8170002000,MANHATTAN TOWNHOMES 2nd FIL,19734,Townhouse,Townhouse Two Story,68,1662,,,400,.04000000,2016,360000.00,355200.00
702,R1662127,8708130025,2020-08-07,333 ZEPPELIN WAY,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Townhouse - 1/2 Duplex,Townhouse One Story,61,1944,612,,400,.06000000,2019,392000.00,426900.00
703,R1662128,8708130026,2020-08-07,335 ZEPPELIN WAY,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Townhouse - 1/2 Duplex,Townhouse One Story,61,1884,612,,400,.06000000,2019,392000.00,420300.00
704,R1586597,9716374002,2020-08-07,1018 TIERRA LN B,FORT COLLINS,80521,19351,ELIZABETH AT OVERLAND TRAIL CONDOS,19715,Townhouse/Condo,Townhouse Two Story,68,1070,536,386,264,.00000000,1998,302000.00,286800.00
705,R1609519,8604407082,2020-08-07,3633 CASSIOPEIA LN,FORT COLLINS,80528,8040,WILLOW BROOK,18729,Single Family Residential,2 Story,8,1852,976,756,484,.13000000,2005,555000.00,482000.00
706,R1515608,8619208008,2020-08-07,1170 WYNDHAM HILL RD,FORT COLLINS,80525,0610,WYNDHAM HILL PUD,19613,Single Family Residential,2 Story,8,2883,1407,1407,760,.60000000,2000,750000.00,679500.00
707,R1510614,9716350089,2020-08-07,2708 ARANCIA DR,FORT COLLINS,80521,1902,SIENA PUD,19715,Single Family Residential,Ranch,1,1283,1283,,462,.15000000,1998,405000.00,401300.00
708,R1487566,9734321019,2020-08-07,1903 MESAVIEW LN,FORT COLLINS,80526,17184,OVERLOOK AT WOODRIDGE PUD,19734,Single Family Residential,2 Story,8,2020,1128,1048,484,.16000000,1999,525000.00,494200.00
709,R1068148,8731311003,2020-08-07,4107 SHERMAN CT,FORT COLLINS,80525,13443,GOLDEN MEADOWS,19601,Single Family Residential,2 Story,8,2763,900,780,528,.26000000,1980,575000.00,520500.00
710,R1274490,8606338006,2020-08-07,1455 FRONT NINE DR,FORT COLLINS,80525,149202,FAIRWAY TWO AT SOUTHRIDGE GREENS PUD,19613,Townhouse,Townhouse One Story,61,1633,,,575,.17000000,1987,400000.00,417200.00
711,R1492489,9727173001,2020-08-07,2828 SILVERPLUME DR I1,FORT COLLINS,80526,18573,SILVERPLUME 2 CONDOS,19722,Townhouse/Condo,Townhouse Two Story,68,952,476,476,264,.00000000,1996,310000.00,280900.00
712,R0100196,9722312163,2020-08-07,2016 VALLEY FORGE AVE,FORT COLLINS,80526,11054,LEXINGTON GREEN,19722,Single Family Residential,Split Level,7,1628,,,480,.22000000,1972,430000.00,370600.00
713,R0122661,9725107079,2020-08-07,3108 STOVER ST,FORT COLLINS,80525,11763,SOUTHMOOR VILLAGE,19724,Single Family Residential,Split Level,7,1540,,,440,.29000000,1974,550000.00,358300.00
714,R0020168,9710406002,2020-08-07,1150 W MOUNTAIN AVE,FORT COLLINS,80521,1073,HENSEL`S,19715,Single Family Residential,Ranch,1,1408,996,996,324,.16000000,1930,715000.00,346800.00
715,R0032972,9711308029,2020-08-07,118 N MACK ST,FORT COLLINS,80521,1133,MORGER-SMITH,19711,Single Family Residential,1? Story Fin,5,1610,,,396,.12000000,1905,400000.00,538400.00
716,R0075698,9715201016,2020-08-07,1613 W MULBERRY ST,FORT COLLINS,80521,/150769,S15 T07 R69,19715,Single Family Residential,Ranch,1,1274,,,,.30000000,1947,386000.00,307600.00
717,R0010758,9702414015,2020-08-07,1022 N MASON ST,FORT COLLINS,80524,1235,RIVERSIDE PARK,19829,Single Family Residential,1? Story Fin,5,740,,,285,.16000000,1899,287500.00,272800.00
718,R0642690,8730208110,2020-08-07,2933 BROOKWOOD PL,FORT COLLINS,80525,1249,SILVERWOOD VILLAGE,19724,Single Family Residential,Split Level,7,1598,360,360,546,.17000000,1977,461000.00,415700.00
719,R0628646,9721416017,2020-08-07,2301 SCEAP CT,FORT COLLINS,80526,10133,BROWN FARM,19722,Single Family Residential,Split Level,7,2002,506,345,132,.19000000,1978,435000.00,396800.00
720,R0668656,8717116062,2020-08-07,2810 ALAN ST,FORT COLLINS,80524,03982,COUNTRYSIDE PARK,18933,Single Family Residential,Split Level,7,1184,,,384,.12000000,1977,320000.00,285900.00
721,R0722359,9721269038,2020-08-07,2900 ROSS DR L38,FORT COLLINS,80526,122703,WILLOW LANE,19722,Townhouse,Townhouse Two Story,68,1122,561,476,231,.02000000,1997,290000.00,299400.00
722,R0645435,9725412182,2020-08-06,3400 HAMPTON DR,FORT COLLINS,80525,12122,VILLAGE EAST,19724,Single Family Residential,Split Level,7,1224,396,396,396,.19000000,1977,339000.00,368700.00
723,R1015605,9721329018,2020-08-06,2508 HARALSON CT,FORT COLLINS,80526,10137,BROWN FARM,19722,Single Family Residential,Split Level,7,1546,,,440,.19000000,1985,330000.00,358200.00
724,R0722642,9721271057,2020-08-06,2929 ROSS DR Q57,FORT COLLINS,80526,122703,WILLOW LANE,19722,Townhouse,Townhouse Two Story,68,1030,660,660,231,.03000000,1995,282000.00,293300.00
725,R0000213,8718212001,2020-08-06,1137 RIVERSIDE AVE,FORT COLLINS,80524,12344,RIVERSIDE,165,Storage Warehouse,Storage Warehouse,406,7230,,,,.41000000,1974,800000.00,750000.00
726,M9021400,9716140001,2020-08-06,2211 W MULBERRY ST 262,FORT COLLINS,80521,,,MH1,MH In Park,Double Wide,15,1512,,,,.00000000,1991,80000.00,63500.00
727,R0086363,9715409015,2020-08-06,1240 SOUTHRIDGE DR,FORT COLLINS,80521,10475,FAIRVIEW,19715,Single Family Residential,Ranch,1,1092,1092,1092,312,.18000000,1963,400000.00,375100.00
728,R0212598,9727305005,2020-08-06,3312 BIRMINGHAM DR,FORT COLLINS,80526,1348,ROSSBOROUGH,19722,Single Family Residential,2 Story,8,2214,,,456,.16000000,1983,422000.00,405400.00
729,R1360973,9836312001,2020-08-06,1802 N COLLEGE AVE,FORT COLLINS,80524,1758,PEREZ MINOR SUB,160,Restaurant,Restaurant,350,2322,,,,.35000000,1961,400000.00,352400.00
730,R1290363,9726429004,2020-08-06,3509 OMAHA CT,FORT COLLINS,80526,16052,WARREN FARMS,19722,Single Family Residential,2 Story,8,1770,960,896,546,.18000000,1993,480000.00,451100.00
731,R1392131,8607316038,2020-08-06,1143 HAWKEYE ST,FORT COLLINS,80525,17404,PARAGON POINT PUD,19613,Single Family Residential,2 Story,8,2483,1062,,704,.14000000,1994,495000.00,500900.00
732,R1090402,9725321003,2020-08-06,512 E MONROE DR D412,FORT COLLINS,80525,1400,WINDMILL CONDO,19724,Condo unit,Condo <= 3 Stories,19,618,,,,.00000000,1978,190000.00,161400.00
733,R1607518,8608310023,2020-08-06,6214 TILDEN ST,FORT COLLINS,80528,0679,WESTCHASE PUD,18729,Single Family Residential,2 Story,8,2701,1486,,640,.18000000,2004,567450.00,569800.00
734,R1592311,8729110001,2020-08-06,2939 DES MOINES DR,FORT COLLINS,80525,1997,"RIGDEN FARM 1ST FIL, FTC ",18729,Single Family Residential,2 Story,8,2034,1128,722,400,.14000000,2001,491000.00,448200.00
735,R1655253,8729474008,2020-08-06,3221 ANIKA DR,FORT COLLINS,80525,1997017000,RIGDEN FARM 17TH FIL,18729,Single Family Residential,2 Story,8,1942,864,,480,.15000000,2016,453500.00,474200.00
736,R1662308,8708140002,2020-08-06,2809 CONQUEST ST,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Single Family Residential,2 Story,8,2154,956,,596,.09000000,2020,461875.00,446200.00
737,R1662224,8708134008,2020-08-06,2745 CONQUEST ST,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Single Family Residential,2 Story,8,2096,922,,652,.14000000,2020,434850.00,462900.00
738,R1652156,8604442002,2020-08-06,5102 SOUTHERN CROSS LN B,FORT COLLINS,80528,8103025000,TRIPLE CROWN HOMES AT OBSERVATORY VILLAGE ASSOC INC CONDO MAP 25,18729,Townhouse/Condo,Townhouse Two Story,68,1452,728,,420,.00000000,2011,340000.00,360000.00
739,R1626446,9736478003,2020-08-05,712 WHALERS WAY B-3,FORT COLLINS,80525,807401,"BOARDWALK OFFICE CONDOS, SUPP NO. 1",190,Office Building,Office Building,344,1037,,,,.04000000,2002,269620.00,224700.00
740,R1652514,8832251064,2020-08-05,2519 LYNNHAVEN LN,FORT COLLINS,80524,8098001004,MAPLE HILL 4TH REPLAT,18933,Single Family Residential,Split Level,7,1710,374,,580,.11000000,2013,381500.00,351100.00
741,R1581289,9731323011,2020-08-05,4136 EDITH DR,FORT COLLINS,80526,0229102,CUSHMAN`S LAKEVIEW DEVELOPMENT,19829,Single Family Residential,1? Story Fin,5,1632,868,,,.67000000,1992,474900.00,419300.00
742,R1244663,9728208020,2020-08-05,2813 SECCOMB ST,FORT COLLINS,80526,16081,QUAIL HOLLOW PUD,19722,Single Family Residential,Ranch,1,1520,,,400,.15000000,1987,410000.00,402300.00
743,R1375016,9612417027,2020-08-05,6224 BUCHANAN ST,FORT COLLINS,80525,162021,BRITTANY KNOLLS PUD,19613,Single Family Residential,Ranch,1,1850,1822,1640,484,.19000000,1994,525000.00,496900.00
744,R1408500,8606116051,2020-08-05,1949 ANGELO DR,FORT COLLINS,80528,1814,HARMONY CROSSING PUD,19613,Single Family Residential,2 Story,8,1386,694,694,420,.10000000,1999,330000.00,365200.00
745,R0181129,9721125004,2020-08-05,2509 ROMELDALE CT,FORT COLLINS,80526,10132,BROWN FARM,19722,Single Family Residential,Split Level,7,1272,,,400,.27000000,1976,366000.00,339200.00
746,R0179817,9721241036,2020-08-05,3005 ROSS DR W36,FORT COLLINS,80526,122702,WILLOW LANE,19722,Townhouse,Townhouse One Story,61,666,,,,.04000000,1975,200000.00,187400.00
747,M9047761,9835400046,2020-08-05,2025 N COLLEGE AVE 326,FORT COLLINS,80524,,,MH3,MH In Park,Single Wide,14,910,,,,.00000000,1977,20000.00,4500.00
748,R0152056,9821400007,2020-08-05,3701 N COUNTY ROAD 19,FORT COLLINS,80524,/210869,S21 T08 R69,19829,Single Family Residential,Ranch,1,1040,,,360,1.80000000,1945,462000.00,348700.00
749,R1027891,9727407010,2020-08-05,3130 SHARPS ST,FORT COLLINS,80526,1356,WAGON WHEEL,19722,Single Family Residential,Split Level,7,1280,,,401,.14000000,1983,360000.00,335000.00
750,R0657824,8730407153,2020-08-04,1625 WATERFORD LN,FORT COLLINS,80525,11773,SOUTHMOOR VILLAGE EAST,19724,Single Family Residential,2 Story,8,2384,1592,564,552,.16000000,1981,568500.00,555700.00
751,R0124516,9725113002,2020-08-04,1001 STRACHAN DR B1,FORT COLLINS,80525,1210,VILLAGE IV CONDO,19724,Townhouse/Condo,Townhouse Two Story,68,840,,,264,.00000000,1973,197000.00,203300.00
752,R0029670,9711229018,2020-08-04,324 N LOOMIS AVE,FORT COLLINS,80521,1349,COTTON`S RESUB,19711,Single Family Residential,Ranch,1,664,,,,.11000000,1900,315000.00,256600.00
753,R0032123,9711305027,2020-08-04,602 W MOUNTAIN AVE,FORT COLLINS,80521,1109,LOOMIS,19711,Single Family Residential,1? Story Fin,5,2251,504,504,468,.16000000,1905,925000.00,878700.00
754,M9036083,9836300008,2020-08-04,301 SPAULDING LN 9,FORT COLLINS,80524,,,MH4,MH In Park,Single Wide,14,896,,,,.00000000,1996,35400.00,14300.00
755,R0177814,9721233015,2020-08-04,3024 ROSS DR B15,FORT COLLINS,80526,122701,WILLOW LANE,19722,Townhouse,Townhouse Two Story,68,784,,,,.02000000,1974,210000.00,188400.00
756,R1240161,8831106003,2020-08-04,1912 COTTONWOOD POINT DR,FORT COLLINS,80524,0527,COTTONWOOD POINT PUD,19836,Single Family Residential,Split Level,7,2752,448,448,672,.13000000,1989,600000.00,653700.00
757,R1599208,8605459016,2020-08-04,2814 AUTUMN HARVEST WAY,FORT COLLINS,80528,8014,HARVEST PARK,18729,Single Family Residential,2 Story,8,1815,528,,420,.07000000,2003,448500.00,409900.00
758,R1593182,9615107071,2020-08-04,1226 TRUXTUN DR,FORT COLLINS,80526,800001,REGISTRY RIDGE PUD 1ST CORRECTED PLAT OF FINAL PLAT (2000038232),19614,Single Family Residential,2 Story,8,2778,1528,,638,.18000000,2005,545000.00,534400.00
759,R1662307,8708140001,2020-08-04,2803 CONQUEST ST,FORT COLLINS,80524,8255002000,EAST RIDGE 2nd FILING,18933,Single Family Residential,2 Story,8,2154,956,,596,.11000000,2020,493800.00,454900.00
760,R1645139,9711220024,2020-08-04,402 WOOD ST,FORT COLLINS,80521,1221,WEST SIDE,19711,Single Family Residential,Ranch,1,858,,,400,.11000000,1916,460000.00,498400.00
761,R1615051,9615411167,2020-08-04,1527 SEA WOLF CT,FORT COLLINS,80526,80003,"REGISTRY RIDGE PUD, THIRD FILING",19614,Single Family Residential,2 Story,8,2880,2004,,440,.16000000,2004,492500.00,535200.00
762,R1634908,8729273001,2020-08-03,2715 RIGDEN PKWY 1,FORT COLLINS,80525,806808,LAGRANGE CONDOS 8TH SUPP FTC (20050054366),18729,Townhouse/Condo,Townhouse Two Story,68,1210,629,,188,.00000000,2004,312000.00,304800.00
763,R1624203,8609105040,2020-08-03,3703 ROCKY STREAM DR,FORT COLLINS,80528,8081,SWIFT ADDITION TO FOSSIL LAKE PUD,19613,Single Family Residential,2 Story,8,4307,2034,1403,1174,.59000000,2007,1210000.00,1225500.00
764,R1627742,8607443002,2020-08-03,1945 FOSSIL CREEK PKWY B,FORT COLLINS,80528,807601,"LINDEN PARK CONDOMINIUMS-FIRST SUPPLEMENT, FTC (2002137283)",19613,Townhouse/Condo,Townhouse Two Story,68,1308,,,420,.00000000,2002,300000.00,313300.00
765,R1659149,8608448006,2020-08-03,2802 HARVEST VIEW WAY,FORT COLLINS,80528,0898002000,KECHTER FARM PLD FIL 2,18729,Single Family Residential,Permit Value,0,1,,,,.35000000,2019,875000.00,652800.00
766,R1480626,9730411040,2020-08-03,3436 CONTINENTAL CIR,FORT COLLINS,80526,031002,CONTINENTAL NORTH,19829,Single Family Residential,Ranch,1,2384,1745,1600,480,.94000000,1993,800000.00,709600.00
767,R1591794,9717307084,2020-08-03,1415 CATALPA CT,FORT COLLINS,80521,18872,THE PONDS AT OVERLAND TRAIL 2ND,19722,Single Family Residential,3 Story,25,3865,1796,1061,1032,1.01000000,2002,1287000.00,1028900.00
768,R1570544,8732149109,2020-08-03,2626 SOUTHFIELD CT,FORT COLLINS,80525,19132,ENGLISH RANCH SOUTH PUD,18729,Single Family Residential,2 Story,8,2382,856,,650,.23000000,2002,533000.00,493200.00
769,R1570552,8732149110,2020-08-03,2632 SOUTHFIELD CT,FORT COLLINS,80525,19132,ENGLISH RANCH SOUTH PUD,18729,Single Family Residential,Ranch,1,1416,1416,1116,484,.14000000,2002,475000.00,436900.00
770,R1580291,8607329018,2020-08-03,6532 FINCH CT,FORT COLLINS,80525,1740501,PARAGON POINT PUD,19613,Townhouse - 1/2 Duplex,Townhouse One Story,61,1268,1268,,,.09000000,1998,349000.00,329700.00
771,R1590584,9735175003,2020-08-03,357 ALBION WAY C3,FORT COLLINS,80526,195202,SOUTH GLEN CONDOS 2ND SUPP,19734,Townhouse/Condo,Townhouse Two Story,68,1288,560,,240,.00000000,1999,319500.00,290400.00
772,R1608322,8609222006,2020-08-03,5702 FALLING WATER DR,FORT COLLINS,80528,06372,"FOSSIL LAKE PUD, SECOND FILING",19613,Single Family Residential,2 Story,8,2702,1504,958,747,.22000000,2005,634000.00,676400.00
773,R1189697,9727153002,2020-08-03,2918 SILVERPLUME DR C2,FORT COLLINS,80526,14089,SILVERPLUME CONDO,19722,Townhouse/Condo,Townhouse Two Story,68,952,476,476,264,.00000000,1984,295000.00,269500.00
774,R1340565,8732105013,2020-08-03,3606 WESCOTT CT,FORT COLLINS,80525,1733,ENGLISH RANCH,18729,Single Family Residential,2 Story,8,1664,894,894,420,.16000000,1992,400000.00,430000.00
775,R0225371,9601209042,2020-08-03,4700 VENTURI LN,FORT COLLINS,80525,01823,FAIRWAY ESTATES,19601,Single Family Residential,Ranch,1,2036,1408,,552,.37000000,1972,585000.00,584900.00
776,R0217182,9825407004,2020-08-03,726 GREGORY RD,FORT COLLINS,80524,0123,GRAY WM J,19836,Single Family Residential,Ranch,1,1136,1136,1136,484,.43000000,1953,622000.00,451200.00
777,R0005541,8719305008,2020-08-03,2413 BROOKWOOD DR,FORT COLLINS,80525,11431,PARKWOOD,19724,Single Family Residential,1? Story Fin,5,4158,1308,1036,576,.70000000,1969,1425000.00,1152400.00
778,M0969516,9835400046,2020-08-03,2025 N COLLEGE AVE 269,FORT COLLINS,80524,,,MH3,MH In Park,Single Wide,14,924,,,,.00000000,1973,12000.00,4600.00
779,R0069701,9714209027,2020-08-03,952 PIONEER AVE,FORT COLLINS,80521,11112,"MANTZ, CAROLINE",19715,Duplex -side by side,Duplex One Story,51,1560,,,,.23000000,1951,495000.00,472500.00
780,R0075191,9715114022,2020-08-03,604 E COY DR,FORT COLLINS,80521,1155,"RANDLEMAN, RAY L.",19715,Single Family Residential,Ranch,1,920,,,240,.15000000,1954,325000.00,289500.00
781,R0728900,8730117137,2020-08-03,2836 SOMBRERO LN,FORT COLLINS,80525,1291,MEADOWS EAST,19724,Single Family Residential,Bi Level 2 Story,4,1588,,,420,.22000000,1983,326000.00,327400.00
782,R0684805,9727207044,2020-08-03,2700 HANOVER DR,FORT COLLINS,80526,1261,CEDAR VILLAGE,19722,Single Family Residential,Ranch,1,852,852,852,480,.20000000,1977,395000.00,341700.00
783,R1015176,9721327038,2020-08-03,2424 YORKSHIRE ST,FORT COLLINS,80526,10137,BROWN FARM,19722,Single Family Residential,Ranch,1,1932,,,440,.17000000,1984,418200.00,397300.00
784,M9029290,9613200014,2020-08-02,517 E TRILBY RD 30,FORT COLLINS,80525,,,MH2,MH In Park,Single Wide,14,924,,,,.00000000,1984,28000.00,11000.00
785,M9036016,9733100031,2020-08-01,3717 S TAFT HILL RD 206,FORT COLLINS,80526,,,MH2,MH In Park,Single Wide,14,1216,,,,.00000000,1996,45000.00,24300.00
786,R0062766,9713408029,2020-09-30,800 E LAKE ST,FORT COLLINS,80524,12021,UNIVERSITY ACRES,19711,Single Family Residential,Ranch,1,1999,1424,1424,506,.26000000,1960,635000.00,551300.00
787,R0068918,9714205021,2020-09-30,615 W MULBERRY ST,FORT COLLINS,80521,1225,WESTLAWN,19715,Single Family Residential,Ranch,1,916,832,832,204,.15000000,1928,400000.00,390400.00
788,R0079731,9715305058,2020-09-30,1032 GLENMOOR DR,FORT COLLINS,80521,11232,MILLER BROTHERS FOOTHILLS,19715,Single Family Residential,Ranch,1,1152,,,,.15000000,1959,342000.00,296600.00
789,R0065528,9713408283,2020-09-30,1216 GREEN ST,FORT COLLINS,80524,12029,UNIVERSITY ACRES,19711,Single Family Residential,Ranch,1,1837,1165,1049,540,.21000000,1966,499550.00,543100.00
790,R0017647,9710116001,2020-09-30,400 CLOVER LN,FORT COLLINS,80521,1135,MOUNTAIN VIEW HEIGHTS,19715,Single Family Residential,Ranch,1,936,,,264,.16000000,1966,357500.00,296400.00
791,R0173282,9721107017,2020-09-30,2243 SUFFOLK ST,FORT COLLINS,80526,10131,BROWN FARM,19722,Single Family Residential,Bi Level 2 Story,4,1746,,,534,.18000000,1972,365000.00,349600.00
792,R0241679,0601105222,2020-09-30,4905 HILLTOP DR,FORT COLLINS,80526,0212,HORSETOOTH LAKE ESTATES,19829,Single Family Residential,Ranch,1,1460,1460,832,506,1.17000000,1985,615000.00,530000.00
793,R0641952,8730208043,2020-09-30,1419 CENTENNIAL RD,FORT COLLINS,80525,1249,SILVERWOOD VILLAGE,19724,Single Family Residential,Split Level,7,1544,360,360,520,.16000000,1978,398000.00,379200.00
794,R0721859,9721267029,2020-09-30,3000 ROSS DR F29,FORT COLLINS,80526,122703,WILLOW LANE,19722,Townhouse,Townhouse  1 1/2 Story,65,928,,,,.03000000,1980,217500.00,223500.00
795,R0733113,9722122012,2020-09-30,1705 HEATHERIDGE RD G206,FORT COLLINS,80526,1301,HEATHERIDGE LAKES CONDO,19722,Condo unit,Condo <= 3 Stories,19,576,,,,.00000000,1974,165000.00,145800.00
796,R1006614,8719316011,2020-09-30,1305 KIRKWOOD DR 203,FORT COLLINS,80525,1357,PARKWOOD GARDENS CONDO,19724,Condo unit,Condo <= 3 Stories,19,766,,,,.00000000,1970,177500.00,178100.00
797,R1090038,9725319014,2020-09-30,3400 STANFORD RD B223,FORT COLLINS,80525,1400,WINDMILL CONDO,19724,Condo unit,Condo <= 3 Stories,19,751,,,,.00000000,1978,160000.00,178500.00
798,R1091077,9723222013,2020-09-30,977 GILGALAD WAY,FORT COLLINS,80526,1407,SUNDERING TOWNHOMES PUD,19722,Townhouse,Townhouse One Story,61,942,,,264,.04000000,1986,268000.00,253500.00
799,R1187244,8607211002,2020-09-30,5718 SOUTHRIDGE GREENS BLVD,FORT COLLINS,80525,1533,GREENRIDGE AT SOUTHRIDGE GREENS PUD,19613,Single Family Residential,2 Story,8,2960,1304,863,706,.21000000,1992,625000.00,611700.00
800,R1339184,9729106001,2020-09-30,2824 SKIMMERHORN ST,FORT COLLINS,80526,17321,BURNS RANCH AT QUAIL RIDGE,19722,Single Family Residential,Ranch,1,2631,1859,1200,888,.35000000,1994,872500.00,790700.00
801,R1398547,8605107065,2020-09-30,3060 INDIGO CIR N,FORT COLLINS,80528,16602,WILD WOOD FARM PUD,18729,Single Family Residential,Ranch,1,1863,1863,1863,588,.17000000,1997,493000.00,465300.00
